processor_count        input_size          runtime 
              1             100           67            
              1             1000          86            
              1             10000         289            
              1             100000        2316
              1             1000000       19762
              1             10000000      115766
              1             100000000     1080768        
              1             1000000000    15667041
              1             10000000000   60101180    
              1             100000000000  50986553
              1             100000000000  28446845
